"Reporting Starts","Reporting Ends","Ad Set Name","Ad Set Delivery",Bid,"Bid Type","Ad Set Budget","Ad Set Budget Type","Last Significant Edit",Results,"Result Indicator",Reach,Impressions,"Cost per Results","Amount Spent (INR)",Ends,Starts,"New Messaging Connections","Messaging Replies","Link Clicks","CTR (All)","CPM (Cost per 1,000 Impressions) (INR)"
2020-07-23,2020-07-24,vlab-06622dd4-hindi-0-ff320b4eca996ee4,not_delivering,0,ABSOLUTE_OCPM,1000,Lifetime,0,11,actions:onsite_conversion.messaging_conversation_started_7d,5809,7875,90.909090909091,1000,2020-07-23,2020-07-23,11,21,35,1.79047619,126.98412698
2020-07-23,2020-07-24,vlab-07853f76-hindi-0-61f00e615d86bcf0,not_delivering,0,ABSOLUTE_OCPM,1000,Lifetime,0,90,actions:onsite_conversion.messaging_conversation_started_7d,13961,16901,11.111111111111,1000,2020-07-23,2020-07-23,77,127,168,1.97621443,59.16809656
2020-07-23,2020-07-24,vlab-09839cda-hindi-0-ac41258c1c9dfbc2,not_delivering,0,ABSOLUTE_OCPM,1000,Lifetime,0,14,actions:onsite_conversion.messaging_conversation_started_7d,6241,9131,71.428571428571,1000,2020-07-23,2020-07-23,11,20,43,1.41276969,109.5170299
2020-07-23,2020-07-24,vlab-09c3966f-hindi-0-14b3a55ab0aee0ae,not_delivering,0,ABSOLUTE_OCPM,1000,Lifetime,0,40,actions:onsite_conversion.messaging_conversation_started_7d,11082,14508,25,1000,2020-07-23,2020-07-23,38,58,89,2.01957541,68.92748828
2020-07-23,2020-07-24,vlab-0a9badaf-hindi-0-0536b59e2ca5fb95,not_delivering,0,ABSOLUTE_OCPM,1000,Lifetime,0,13,actions:onsite_conversion.messaging_conversation_started_7d,5717,9122,76.923076923077,1000,2020-07-23,2020-07-23,13,19,59,1.61148871,109.62508222
2020-07-23,2020-07-24,vlab-0b302692-hindi-0-33ee55354f833c53,not_delivering,0,ABSOLUTE_OCPM,1000,Lifetime,0,38,actions:onsite_conversion.messaging_conversation_started_7d,14569,18068,26.315789473684,1000,2020-07-23,2020-07-23,35,73,113,1.69360195,55.3464689
2020-07-23,2020-07-24,vlab-0c4a9e7c-hindi-0-60b56b0921be6be1,not_delivering,0,ABSOLUTE_OCPM,1000,Lifetime,0,58,actions:onsite_conversion.messaging_conversation_started_7d,12692,15749,17.241379310345,1000,2020-07-23,2020-07-23,48,93,140,1.72074417,63.49609499
2020-07-23,2020-07-24,vlab-0c92f920-hindi-0-a4d4ee4814b22088,not_delivering,0,ABSOLUTE_OCPM,1000,Lifetime,0,28,actions:onsite_conversion.messaging_conversation_started_7d,11104,15356,35.714285714286,1000,2020-07-23,2020-07-23,27,48,82,2.09038812,65.12112529
2020-07-23,2020-07-24,vlab-0cb3e7c3-hindi-0-d19243ae279cda09,not_delivering,0,ABSOLUTE_OCPM,1000,Lifetime,0,11,actions:onsite_conversion.messaging_conversation_started_7d,6244,8995,90.909090909091,1000,2020-07-23,2020-07-23,9,16,57,1.53418566,111.17287382
2020-07-23,2020-07-24,vlab-0d1e3ccb-hindi-0-75318b7c0a754035,not_delivering,0,ABSOLUTE_OCPM,1000,Lifetime,0,30,actions:onsite_conversion.messaging_conversation_started_7d,10334,13689,33.333333333333,1000,2020-07-23,2020-07-23,26,45,69,1.38797575,73.0513551
2020-07-23,2020-07-24,vlab-0e695f9f-hindi-0-1192e6783774e23f,not_delivering,0,ABSOLUTE_OCPM,1000,Lifetime,0,48,actions:onsite_conversion.messaging_conversation_started_7d,14584,17300,20.833333333333,1000,2020-07-23,2020-07-23,46,74,103,1.45086705,57.80346821
2020-07-23,2020-07-24,vlab-10003c0d-hindi-0-e552e7263de3d939,not_delivering,0,ABSOLUTE_OCPM,1000,Lifetime,0,56,actions:onsite_conversion.messaging_conversation_started_7d,14900,18350,17.857142857143,1000,2020-07-23,2020-07-23,49,78,104,1.76021798,54.49591281
2020-07-23,2020-07-24,vlab-1504009c-hindi-0-511aca8355e31c27,not_delivering,0,ABSOLUTE_OCPM,1000,Lifetime,0,21,actions:onsite_conversion.messaging_conversation_started_7d,7216,10821,47.619047619048,1000,2020-07-23,2020-07-23,20,30,59,1.94067092,92.41290084
2020-07-23,2020-07-24,vlab-15b5a749-hindi-0-60bf3913e8c24b35,not_delivering,0,ABSOLUTE_OCPM,1000,Lifetime,2020-07-23T03:34:11+0530,49,actions:onsite_conversion.messaging_conversation_started_7d,11977,15222,20.408163265306,1000,2020-07-23,2020-07-23,42,67,108,1.82630403,65.6943897
2020-07-23,2020-07-24,vlab-188ae45b-hindi-0-a082d5db0ae77b88,not_delivering,0,ABSOLUTE_OCPM,1000,Lifetime,0,28,actions:onsite_conversion.messaging_conversation_started_7d,11632,15630,35.714285714286,1000,2020-07-23,2020-07-23,25,49,95,1.70185541,63.97952655
2020-07-23,2020-07-24,vlab-196f4fd1-hindi-0-2d99845d9f579c06,not_delivering,0,ABSOLUTE_OCPM,1000,Lifetime,0,70,actions:onsite_conversion.messaging_conversation_started_7d,13857,16914,14.285714285714,1000,2020-07-23,2020-07-23,60,106,124,1.68499468,59.12262031
2020-07-23,2020-07-24,vlab-19f0ff06-hindi-0-c941b0ff88628631,not_delivering,0,ABSOLUTE_OCPM,1000,Lifetime,0,13,actions:onsite_conversion.messaging_conversation_started_7d,6886,10386,76.923076923077,1000,2020-07-23,2020-07-23,10,13,33,1.20354323,96.2834585
2020-07-23,2020-07-24,vlab-22a26988-hindi-0-0ab5116037178e1c,not_delivering,0,ABSOLUTE_OCPM,1000,Lifetime,0,26,actions:onsite_conversion.messaging_conversation_started_7d,10015,13593,38.461538461538,1000,2020-07-23,2020-07-23,25,42,69,1.50812918,73.56727728
2020-07-23,2020-07-24,vlab-247b0531-hindi-0-dcd37423afc9df18,not_delivering,0,ABSOLUTE_OCPM,1000,Lifetime,0,41,actions:onsite_conversion.messaging_conversation_started_7d,11401,14916,24.390243902439,1000,2020-07-23,2020-07-23,37,68,96,1.95092518,67.04210244
2020-07-23,2020-07-24,vlab-25141c70-hindi-0-3ca6745cd51090f9,not_delivering,0,ABSOLUTE_OCPM,1000,Lifetime,0,27,actions:onsite_conversion.messaging_conversation_started_7d,7672,11686,37.037037037037,1000,2020-07-23,2020-07-23,22,49,72,1.77990758,85.57247989
2020-07-23,2020-07-24,vlab-2568806d-hindi-0-35d46e4b94d0b2f0,not_delivering,0,ABSOLUTE_OCPM,1000,Lifetime,0,53,actions:onsite_conversion.messaging_conversation_started_7d,10264,13571,18.867924528302,1000,2020-07-23,2020-07-23,45,71,112,2.22533343,73.68653747
2020-07-23,2020-07-24,vlab-282c9c61-hindi-0-8668eba9f45814f9,not_delivering,0,ABSOLUTE_OCPM,1000,Lifetime,0,12,actions:onsite_conversion.messaging_conversation_started_7d,4960,7766,83.333333333333,1000,2020-07-23,2020-07-23,11,14,45,1.53232037,128.76641772
2020-07-23,2020-07-24,vlab-297259d4-hindi-0-929e22ae7d3fc2e7,not_delivering,0,ABSOLUTE_OCPM,1000,Lifetime,0,43,actions:onsite_conversion.messaging_conversation_started_7d,10832,14939,23.255813953488,1000,2020-07-23,2020-07-23,36,73,98,1.82073767,66.9388848
2020-07-23,2020-07-24,vlab-2ae8c08a-hindi-0-8efb1c9c1304fefa,not_delivering,0,ABSOLUTE_OCPM,1000,Lifetime,0,21,actions:onsite_conversion.messaging_conversation_started_7d,8761,13000,47.619047619048,1000,2020-07-23,2020-07-23,19,28,69,1.93076923,76.92307692
2020-07-23,2020-07-24,vlab-2c1e88d9-hindi-0-1a459079b7f63bdc,not_delivering,0,ABSOLUTE_OCPM,1000,Lifetime,0,76,actions:onsite_conversion.messaging_conversation_started_7d,16144,19932,13.157894736842,1000,2020-07-23,2020-07-23,73,109,156,1.99678908,50.17057997
2020-07-23,2020-07-24,vlab-2c9636b1-hindi-0-b0dcb849b3e38e0f,not_delivering,0,ABSOLUTE_OCPM,1000,Lifetime,0,42,actions:onsite_conversion.messaging_conversation_started_7d,12968,16781,23.809523809524,1000,2020-07-23,2020-07-23,35,75,73,1.6030034,59.59120434
